links,titles,autores,fecha_de_publicacion,idioma
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_e261125dc1aa186a1d5d7cea2567888e,Agonía y cierre de un ícono de la Argentina agroexportadora: el caso del Mercado Central de Frutos (1946-1976),"Cuesta, Eduardo Martín",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_257b97f78a1e41b26e0b12bfd104b94a,Antes había muchas,"Pinazo, Martín Alcides;  Inza, María Virginia;  Latorre, Fabiana;  Rotundo, Cristian Andrés",2016,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_006a1e9da39e2ee77db8fb3b6957ff49,Avances y retrocesos de la flexibilidad laboral en la Argentina : Aportes para una comparación de las trayectorias históricas de distintas ramas de actividad,"Kabat, Marina;  Harari, Ianina;  Egan, Julia Florencia;  Fernández, Rocío;  Cominiello, Sebastián Norberto;  Muñoz, Roberto;  Murmis, Ezequiel Patricio",2014,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_3ab1bde9ef74771da3b2d74707479d4b,Avances y retrocesos de la flexibilidad laboral en la Argentina. Aportes para una comparación de las trayectorias históricas de distintas ramas de actividad,"Kabat, Marina;  Harari, Ianina;  Egan, Julia Florencia;  Fernández, Rocío;  Cominiello, Sebastián Norberto;  Muñoz, Roberto;  Murmis, Ezequiel Patricio",2014,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_b216bc7f2be93cc540621590716f696e,Cambios recientes en la agricultura familiar: Un estudio sobre los trabajadores familiares remunerados de la región pampeana argentina,"Neiman, Melina",2008,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_5172d86f821aa05b2b0d96968f2bca9a,Caracterización y evolución del empleo asalariado formal creado por empresas del sector privado en la Provincia de Santa Fe (2007-2013),"Carné, Martín Alberto",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_b4bc5f0094cb57a1b0acfa72b47bda94,Caracterización y evolución del empleo asalariado formal creado por empresas del sector privado en la Provincia de Santa Fe (2007-2013),"Carné, Martín Alberto",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_6be8034c470cc1f394c692495ab12e45,Ciencia y tecnología en la Argentina 2015-2019: panorama del ajuste neoliberal,"Aliaga, Jorge",2019,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_ef7822841e3e1892ee0f5c995e884389,Comparación del nivel de ingreso del jefe de hogar entre aglomerados,"Leguizamón,María C.;  Martinez, Carlos Ismael;  Panico, Adriana F.",2006,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_9c5558b5379cd8a0bef49babe84f2469,"Condiciones laborales, riesgo y salud de los trabajadores forestales de Misiones, Corrientes y Entre Ríos (Argentina), 2010-2014","Bardomas, Silvia Monica;  Blanco, Mariela Verónica",2018,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_0ece0c0810bfa513ec8b8371a685e9ec,"Crecimiento económico, empleo y salarios en la Argentina post neoliberal","Pérez, Pablo Ernesto;  Fernández Massi, Mariana",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_0ed4bd6bfd22c556e824af69d52c929b,"Crecimiento económico, empleo y salarios en la Argentina post neoliberal","Perez, Pablo Ernesto;  Fernández Massi, Mariana",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_d4d66149134dbb0762f86bf6081c98a4,"Crecimiento económico, empleo y salarios en la Argentina post neoliberal","Pérez, Pablo Ernesto;  Fernández Massi, Mariana Irma",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_d54c14a9b65a9fcfcce115adaa0fad90,"Crisis, empleo, salarios e ingreso","Selva, Rafael A.",2009,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_4680fe29932620dec5c2b852223665e3,Desigualdad salarial en la Argentina: efectos de cambios económicos e institucionales,"Goldschvartz, Adriana Julieta",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_21bd9ae1581a1b2a28c13347904289af,Desigualdad salarial entre sectores económicos de la Argentina post-neoliberal : Una explicación a través de sus límites de variación,"Barrera Insúa, Facundo;  López, Emiliano",2016,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_5234c7f0d27cfd1017bb394eb56b67b5,Desigualdad salarial entre sectores económicos de la Argentina post-neoliberal : una explicación a través de sus límites de variación,"Barrera Insua, Facundo;  López, Emiliano",2016,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_409bd63ce5b9b80bda2190e35e306c5b,"Dinero, trabajos alternativos y consumos en la vida cotidiana de policías de la Provincia de Buenos Aires","Calandrón, Sabrina;  Galar, Santiago",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_c4849faa2d16a5a75e90c8c8a5b097c7,"Dinero, trabajos alternativos y consumos en la vida cotidiana de policías de la Provincia de Buenos Aires","Calandrón, Julieta Sabrina;  Galar, Santiago",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_cd49a43ad712f466fd6c554af76297d0,"Dinero, trabajos alternativos y consumos en la vida cotidiana de policías de la Provincia de Buenos Aires","Calandrón, Julieta Sabrina;  Galar, Santiago",2018,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_a0bc2e8ba048b5c110a028c784d7a353,Editorial,"Moreyra, Élida",2016,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_7b151bda1f006a3a9d763f491da860d6,El empleo asalariado registrado creado en la Provincia de Santa Fe por empresas del sector privado : atributos y dinámica reciente (2011-2016),"Carné, Martín",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_8b8ddee9a0a6f8467b9d8ee3aa28e37c,El empleo asalariado registrado creado en la Provincia de Santa Fe por empresas del sector privado: atributos y dinámica reciente (2011-2016),"Carné, Martín Alberto",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_ccb4ff5e4bb4369334aa16f26ae0967e,El empleo informal y la estructura del mercado laboral en las regiones argentinas,"Jiménez, Mónica",2010,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_0a876da8327b0586a3ceea9ee586ccd2,El impacto asimétrico de la cuarentena : Estimaciones en base a una caracterización de ocupaciones,"Bonavida Foschiatti, Cristian;  Gasparini, Leonardo",2020,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_92c1825e100c6b30f430195a3794fdda,"El mundo de las empleadas administrativas : Perfiles laborales y carreras individuales (Buenos Aires, 1920-1940)","Queirolo, Graciela Amalia",2008,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_1d0e809b1b28b8c35545a32a42a49dac,"El mundo de las empleadas administrativas: perfiles laborales y carreras individuales (Buenos Aires, 1920-1940)","Queirolo, Graciela Amalia",2008,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_fd3991caa0dcf47b1fa4281617dd52d0,El sector agropecuario en la posconvertibilidad: la distribución del ingreso en regiones pampeanas y extrapampeanas,"Mario, Agustin Angel;  Vidosa, Regina",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_cfe3a779aea7f82159b5118cd7b2f208,"El sector argentino de software: desacoples entre empleo, salarios y educación","Rabosto, Andrés N.;  Zukerfeld, Mariano",2019,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_0fee7a4b7e665822002a814b560344b3,"Empleo, inclusión y desarrollo: Disputas y encrucijadas en el contexto argentino presente","Carmona, Rodrigo Reynaldo",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_e2fcb23d60b51105b170c49ca90fb6ea,"Estimación y estructura de los ingresos de familias mapuches rurales de zonas periurbanas de Temuco, Chile","Quiñones Díaz, Ximena E.;  Gálvez Díaz, Judith",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_079ab8e89b3bac491ff07d3645c93c35,"Estimación y estructura de los ingresos de familias mapuches rurales de zonas periurbanas de Temuco, Chile","Quinones Diaz, Ximena Elizabeth;  Gálvez Díaz, Judith",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/Filo_3fe58a37b8de2835420b1650b999fc3c,Estrategias regresivas en la pampa globalizada y las fronteras entre lo rural y lo urbano,"Ratier, Hugo E.; Instituto de Ciencias Antropológicas FFyL-UBA; Facultad de Ciencias Sociales UNICEN; Instituto de Investigaciones Antropológicas de Olavarría",2003,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_db513b41de4756e05436ee063b175158,"Evolución de la actividad económica argentina desde una perspectiva territorial, 2004-2012","Borello, Jose Antonio;  Gonzalez, Leandro;  Pereira, Mariano;  Robert, Veronica",2016,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_90e3caec613e4bcafe2c9b22904b9d6d,Evolución de los salarios docentes en las dos últimas décadas,"Álvarez, Fernando",2010,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_ec128f6ddb22dc7265f32e9b59da5a7a,Evolución del mercado de trabajo y de la estructura del empleo en la Provincia de Buenos Aires desde la convertibilidad (1991-2009),"Neffa, Julio César;  Persia, Juliana;  Bustos, Juan Martín;  Oliveri, María Laura",2011,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_594a1a00c2c71c12e9c314f1c10adad9,Evolución del mercado de trabajo y de la estructura del empleo en la Provincia de Buenos Aires desde la convertibilidad (1991-2009),"Neffa, Julio Cesar;  Persia, Juliana;  Bustos, Juan Martin;  Oliveri, María Laura",2011,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_507d04f6fe341132452e285529f2e535,"Excedente, participación asalariada y acumulación productiva en Argentina: 2003-2019",Centro de Investigación en Economía Política y Comunicación,2019,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_56a6ca34257709447b3e7d74ef7bd2d7,Guanacos : aportes al estudio de los mecanismos de regulación poblacional y su relación con la disponibilidad de alimento,"Marino, Andrea Ivana;  Rodriguez, Maria Victoria",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RDUUNC_30580a6191e62c42caeeb95869ebfaf9,Impuesto a las Ganancias: indemnización por ruptura del vínculo laboral,"Leonardi, Mariana C.",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_d46c7f544a0a1ec3524098358085c5c0,"Interrelación entre segregación espacial y segmentación laboral en los bolivianos, paraguayos y peruanos residentes en la Ciudad Autónoma de Buenos Aires (años 2001-2010)","Manzano, Fernando;  Velázquez, Guillermo Ángel",2018,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_13608525b116973183f3e6a670115de6,Investigación científica y áreas prioritarias en Universidades Nacionales,"Rovelli, Laura Ines",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_198cecf96d37c33cbf546fb66700ace1,La cepa turística de la enfermedad holandesa: Razones económicas subyacentes al declive de un destino turístico,"Oglietti, Guillermo Celso;  Colino, Evelyn del Valle",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_4219c3f9a1733b6b7bb3732913829883,La construcción discursiva de la actividad sindical en los medios de comunicación : Una...,"Salvatierra, Lucas Emanuel",2019,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_195020d2633cad05872dd5112da6a63f,La desigual distribución de ingresos y actividades en el trabajo remunerado en la ciudad de Rosario. Un análisis desde la economía feminista a partir de los resultados de la encues...,"Andreozzi, Lucía;  Ganem, Javier Eduardo;  Geli, Miriam;  Giustiniani, Patricia Sonia;  Peinado, Guillermo;  Gallo, Florentina;  Álvarez, Victoria;  Protti, Florencia;  Cevini, Antonella",2018,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_68509c26b46f41ec1531b51885839046,La economía desde la izquierda: una mirada sobre Argentina,"Katz, Claudio Isaac",2014,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/BDUBAFCE_b170ffdf0fba6247ea0434785db7f3a4,La investigación como herramienta de cambio democrático: la experiencia de dos cooperativas de actividades y de empleo,"Ballon, Justine;  Bodet, Catherine;  Bureau, Marie-Christine;  Corsani, Antonella;  de Grenier, Noémie;  Desgris, Anne-Laure",2018,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_002f061c799e5c528518fd8a26d3dac4,La relación salarios-productividad: incentivos salariales en los convenios colectivos industriales,"Goldschvartz, Adriana Julieta",2016,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_0986a398f387c893fc4ae9b02e137370,La situación del trabajo asalariado industrial durante la posconvertibilidad: Aproximación a sus características según la inserción externa de las actividades,"Marticorena, Clara",2008,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_0e3a34a0c1bfb0da65e124d273a8fcb6,Las condiciones laborales de las y los enfermeros en Argentina: entre la profesionalización y la precariedad del cuidado en la salud,"Aspiazu, Eliana Laura",2016,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_a3d774bb401fb3f6062011d0ab027922,Las huelgas de los estibadores portuarios en el sur santafesino en 1928,"Videla, Oscar;  Menotti, Paulo",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_26c2c74b3faa1eb9ec6e71c530d7df66,Las huelgas de los estibadores portuarios en el sur santafesino en 1928,"Videla, Oscar;  Menotti, Paulo",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_ea599f0c41394b45188f5ff30ffba718,Las huelgas de los estibadores portuarios en el sur santafesino en 1928,"Videla, Oscar Ruben;  Menotti, Paulo Fernando",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_e4930ebb42ec0dd2f1ea70debec36e87,Las huelgas de los estibadores portuarios en el sur santafesino en 1928,"Videla, Oscar;  Menotti, Paulo",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_b392cc54887f435c61a64ab4a948bf19,Localización y tipología de hábitat en la política habitacional de Buenos Aires,"Di Virgilio, Maria Mercedes;  Rodriguez, Maria Carla;  Raspall Galli, Tomás Francisco;  Arqueros Mejica, Maria Soledad;  Rodríguez, Florencia;  Vitale, Pablo Julián;  Zapata, María Cecilia",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_c4a9930537f08173862ea9002e558062,Los sindicatos y la educación pública en América Latina: el caso costarricense.,"Vargas Salazar, Guillermo",2008,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_5001afb5ac7a3f1fb00ba25bd588340a,Modalidades de subsistencia y desigualdades de género en hogares de jefatura femenina de Rosario,"Morandi, Mariela",2009,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_05b7d79fa01ca86309211171105d5f3b,Monitoreo de choiques,"Fernández, Cynthia;  Geremias Toscano, Nadia Belén;  Marino, Andrea Ivana",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_aa6a7ee40eebc73e46c5e8294a5553f5,"Músicos en huelga: Asociacionismo profesional, trabajo y política durante el primer peronismo en Bahía Blanca (septiembre de 1946)","Caubet, María Noelia",2020,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_5387a6b9851af0f601c0ab881da46519,Nuevos escenarios productivos y consecuencias sobre los mercados de trabajo en el contexto de la reestructuración de la agricultura argentina,"Neiman, Guillermo Saul",2010,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_a25b563098cda0c304c828515ba31cff,Ocupaciones y movilidades en pueblos rurales de la Patagonia,"Bendini, Mónica;  Steimbreger, Norma",2011,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_c9b1adfbabd21906d9ce938d30cbd40f,Ocupaciones y movilidades en pueblos rurales de la Patagonia : Una mirada desde lo agrario,"Bendini, Mónica;  Steimbreger, Norma",2011,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_f438c2e39e7ca27a8a251f618e7c1cc9,Pagos por rendimiento en las filiales argentinas de empresas multinacionales,"Delfini, Marcelo;  Cretini, Ignacio;  Quadrana, Alejandra",2019,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_a6ec12372f79481b1696e9a64029c4e7,Paternalismo empresarial y condiciones de vida en los ingenios tucumanos. Fines del siglo XIX y principios del XX,"Landaburu, Alejandra",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_2223d1b53422ab95b2b80f4a70e1f75b,Presentación,"Rodriguez, Gloria Beatriz",2018,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_0955ebba411094a18ec25fe51a41743f,Programa de prevención y de erradicación del trabajo infantil y adolescente,"Montesinos Arruti, María Natalia",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_67792fe296d262f8f1798e1ce9f19510,Salario mínimo y negociación colectiva en la determinación salarial: interacciones entre políticas...,"Goldschvartz, Adriana Julieta",2019,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_3cbe8d00305d5a3dd98685031c2d3d12,Sistemas de pagamentos variáveis e representantes sindicais em empresas multinacionais na Argentina,"Delfini, Marcelo Fabián;  Quadrana, Alejandra Paula;  Cretini, Ignacio Oscar",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_52cb220454b3f56e00fb960ddcca6920,Suelos y Geomorfología,"Rostagno, Cesar Mario;  Bouza, Pablo Jose;  Videla, Lina Sonia;  Sain, Claudia Leticia;  Cortes, Estela Guadalupe",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_15dec941acb25abaa8ebc8f76695e71f,Temporalidades fragmentadas: La experiencia social de trabajadores petroleros de la Cuenca Neuquina,"García, Analía",2009,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_69dd8228adc8691e719634e44a251526,Trabajo infantil rural en Argentina,"Silva, Maria Alejandra",2010,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/BDUBAFCE_c1bde0b049af657b1dcb7d770239de08,Una aproximación a las causas del proceso inflacionario argentino reciente,"Zack, Guido;  Montané, Martín;  Kulfas, Matías",2017,español
